icu_patients
44.0
3.0
37.0
15.0
243.0
61.0
0.0
0.0
146.0
132.0
30.0
7626.0
1.0
823.0
37.0
227.0
475.0
12696.0
1.0
7.0
0.0
150.0
71.0
32.0
74.0
27.0
928.0
3.0
9.0
91.0
351.0
506.0
0.0
73.0
5922.0
1.0
156.0
209.0
10.0
19.0
471.0
96.0
568.0
0.0
108.0
0.0
834.0
112.0
28.0
145.0
120.0
25.0
68.0
412.0
10.0
107.0
1079.0
128.0
10.0
137.0
8.0
11.0
58.0
17.0
137.0
15.0
86.0
268.0
17.0
15.0
2.0
3.0
241.0
17.0
48.0
59.0
198.0
1.0
122.0
476.0
266.0
3.0
15.0
6080.0
1843.0
247.0
20.0
0.0
61.0
164.0
0.0
35.0
3.0
6379.0
245.0
65.0
251.0
571.0
0.0
8.0
60.0
83.0
1.0
0.0
40.0
4.0
26.0
7.0
1299.0
11.0
37.0
39.0
49.0
13.0
0.0
5500.0
8174.0
2.0
52.0
2.0
0.0
32.0
6875.0
64.0
9.0
13.0
295.0
542.0
31.0
458.0
5.0
58.0
283.0
44.0
2.0
1133.0
76.0
1.0
607.0
1144.0
18.0
17.0
6451.0
1278.0
0.0
69.0
0.0
6173.0
4.0
2.0
797.0
818.0
22.0
6.0
1.0
63.0
101.0
1024.0
754.0
1.0
4.0
3.0
8.0
56.0
1261.0
0.0
6.0
6.0
39.0
144.0
923.0
1.0
27.0
4023.0
240.0
43.0
44.0
1.0
4.0
0.0
586.0
112.0
6.0
7057.0
3.0
30.0
6.0
63.0
6.0
2384.0
14.0
993.0
15.0
47.0
1226.0
65.0
14.0
1.0
2.0
74.0
12905.0
2.0
0.0
460.0
91.0
2456.0
10.0
3.0
32.0
15.0
103.0
250.0
0.0
14.0
0.0
44.0
760.0
7956.0
1.0
67.0
41.0
9.0
52.0
75.0
127.0
27.0
5687.0
6.0
60.0
5.0
27.0
1.0
77.0
1204.0
912.0
0.0
2256.0
749.0
19.0
16.0
0.0
68.0
8.0
1.0
9208.0
44.0
5626.0
4.0
458.0
64.0
33.0
76.0
25.0
612.0
1572.0
3.0
88.0
6.0
16.0
1.0
13.0
633.0
0.0
30.0
70.0
71.0
42.0
5.0
37.0
629.0
173.0
757.0
168.0
4.0
6.0
0.0
1.0
153.0
48.0
6235.0
3.0
6249.0
1.0
70.0
4236.0
29.0
0.0
5341.0
45.0
6.0
1278.0
9087.0
2.0
3.0
155.0
48.0
68.0
85.0
3605.0
14769.0
904.0
251.0
16.0
55.0
4.0
25.0
32.0
30.0
5.0
7717.0
5.0
39.0
2.0
15.0
1.0
30.0
123.0
138.0
2.0
6859.0
5195.0
11.0
2764.0
120.0
430.0
110.0
27.0
1128.0
1.0
47.0
67.0
66.0
15.0
514.0
6.0
4.0
0.0
23.0
15.0
143.0
17.0
284.0
56.0
5.0
9553.0
3.0
12.0
474.0
8.0
93.0
475.0
268.0
1.0
11.0
150.0
61.0
168.0
59.0
2080.0
171.0
17.0
1792.0
519.0
503.0
41.0
0.0
176.0
2.0
3.0
61.0
70.0
186.0
182.0
264.0
553.0
37.0
8842.0
6238.0
52.0
21.0
17.0
16.0
72.0
115.0
0.0
47.0
146.0
447.0
8489.0
107.0
66.0
123.0
5.0
6139.0
78.0
21.0
39.0
17.0
10415.0
841.0
255.0
12.0
21.0
12.0
6531.0
16.0
71.0
56.0
1168.0
1.0
64.0
9.0
104.0
9.0
9662.0
21.0
44.0
0.0
6209.0
48.0
705.0
4035.0
23.0
17.0
0.0
366.0
15.0
0.0
5.0
23.0
87.0
36.0
3819.0
0.0
80.0
122.0
48.0
14415.0
118.0
4.0
48.0
30.0
32.0
1.0
34.0
0.0
782.0
9.0
9.0
27.0
25.0
0.0
7090.0
15.0
33.0
11.0
11.0
9.0
24.0
2091.0
17.0
12.0
1.0
23.0
9.0
875.0
171.0
83.0
80.0
5.0
73.0
3.0
47.0
5.0
0.0
735.0
792.0
612.0
2.0
22.0
1297.0
0.0
123.0
2.0
11.0
4.0
40.0
50.0
0.0
2.0
150.0
1104.0
50.0
77.0
2.0
17.0
7.0
199.0
65.0
8.0
82.0
1284.0
5.0
3.0
1.0
0.0
37.0
1208.0
92.0
47.0
0.0
87.0
1483.0
0.0
49.0
1.0
8.0
2239.0
11533.0
1.0
20.0
107.0
0.0
67.0
158.0
6.0
1.0
1156.0
70.0
105.0
1.0
54.0
521.0
1.0
21.0
227.0
1863.0
69.0
17.0
995.0
10.0
3.0
33.0
5612.0
261.0
557.0
5.0
1192.0
358.0
11496.0
42.0
0.0
3.0
24.0
16.0
893.0
22.0
91.0
0.0
0.0
0.0
20.0
60.0
2911.0
6.0
8.0
910.0
5323.0
23.0
2.0
